Model,Avg. Jaccard Index (Stability)
LinearSVC,1.0
RandomForest,1.0
MLP,1.0
LogisticRegression,0.9368421052631579
MultinomialNB,0.8526315789473684
SGDClassifier,0.8438596491228072
SVM,0.8298245614035089
GradientBoosting,0.630576441102757
KNN,0.5462614870509608
