Model,AOPC_mean,AOPC_std,Comprehensiveness_mean,Comprehensiveness_std,Sufficiency_mean,Sufficiency_std,n_samples
LogisticRegression,0.11520568690934717,0.07350181988854347,0.1310948883859099,0.09508245635933109,0.011137564632233513,0.02703081484854207,269
MultinomialNB,0.12535653703848265,0.08156972469117221,0.14738601802338058,0.10564260506858816,0.009925220915097966,0.023364879665229554,269
LinearSVC,0.10845283098622446,0.06910033980754353,0.11539007035730565,0.07796160859310029,0.00958401042383578,0.025153792468320526,269
SGDClassifier,0.18915713744091012,0.10759101122198529,0.20506714948162863,0.12653307053443205,0.015345760838249248,0.04088736521272627,269
SVM,0.16230460553672516,0.1271132257687467,0.18921462698527136,0.15514327819734533,0.012077410281622411,0.030953656271730412,269
KNN,0.3066622921225533,0.17744173014779116,0.2982460278412219,0.21601650377503084,0.08117982760067585,0.14577415924067746,269
RandomForest,0.2047529940027004,0.14142399921365773,0.21694341189341043,0.15486758284387156,0.029276663720452907,0.05655380705688478,269
GradientBoosting,0.08737069983441664,0.07839872215618485,0.0928863042582662,0.08967774849086856,0.014041267679749626,0.03391427207977896,269
MLP,0.1726105750218458,0.09821253581499052,0.19234017044618085,0.13197496356837696,0.015874052912158033,0.04192524952627599,269
