Model,Avg. Jaccard Index (Global over 300 samples)
LogisticRegression,0.8555844472291841
MultinomialNB,0.8580194235588973
LinearSVC,0.8534074770258981
SGDClassifier,0.8504001670843777
SVM,0.848576232247285
KNN,0.7539564884433306
RandomForest,0.8290989974937344
GradientBoosting,0.8040373851294904
MLP,0.8543510164299638
