model,word,dominant_class,avg_weight,avg_abs_weight,n_occurrences
GradientBoosting,forma,real,-0.0031272179980613747,0.0031272179980613747,1
GradientBoosting,força,real,-0.009836654943638484,0.009836654943638484,2
GradientBoosting,forço,real,-2.0755461958543854e-32,2.0755461958543854e-32,1
GradientBoosting,forços,real,-0.016006818720184356,0.016006818720184356,1
GradientBoosting,foto,fake,0.06476680798609138,0.06476680798609138,2
GradientBoosting,frase,fake,4.7791288310320503e-32,4.7791288310320503e-32,1
GradientBoosting,fraudar,fake,2.000478291452253e-05,2.000478291452253e-05,1
GradientBoosting,fredão,real,-3.6844460318326195e-06,3.6844460318326195e-06,1
GradientBoosting,frota,real,-0.010464444591342595,0.010464444591342595,1
GradientBoosting,fundador,real,-0.03244873727813844,0.03244873727813844,1
GradientBoosting,futuro,real,-1.408103039973512e-05,1.408103039973512e-05,1
GradientBoosting,g1,real,-0.0017913529105302308,0.0017913529105302308,1
GradientBoosting,galerar,real,-0.022722731880986936,0.022722731880986936,1
GradientBoosting,gang,real,-0.0035048945974145264,0.0035048945974145264,1
GradientBoosting,ganhar,real,-0.005837026537475718,0.005837026537475718,2
GradientBoosting,garçom,fake,0.0021435148248121552,0.0021435148248121552,1
GradientBoosting,gastar,fake,0.10776775511612702,0.10776775511612702,1
GradientBoosting,gay,fake,0.004512752793606063,0.004512752793606063,1
GradientBoosting,gen,real,-0.0002608480334757716,0.0002608480334757716,2
GradientBoosting,gente,fake,0.06700070904296619,0.06700070904296619,6
GradientBoosting,gentili,real,-0.014596096367629126,0.014596096367629126,1
GradientBoosting,geral,real,-0.024220863060516802,0.024220863060516802,1
GradientBoosting,geraldo,real,-0.03029493683162271,0.03029493683162271,1
GradientBoosting,gimenez,real,-0.0020956581663958396,0.0020956581663958396,1
GradientBoosting,gleisir,real,-5.5678296366536785e-05,5.5678296366536785e-05,1
GradientBoosting,globo,fake,0.03910233899259907,0.03910233899259907,2
